datetime,source,face,face_bbox_x1,face_bbox_y1,face_bbox_x2,face_bbox_y2,head_yaw,head_pitch,head_roll,left_eye_state,right_eye_state,left_eye_state_confidence,right_eye_state_confidence,gaze_yaw,gaze_pitch,facial_expression,race,gender,age,face_center_x,face_center_y,face_area,person
2024-12-12 17:51:15.079373064,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,907,132,1042,342,-9.14,-22.27,8.39,open,open,1.0,1.0,-16.53,-10.69,smilling,middle_eastern,male,25,974.5,237.0,28350,2
2024-12-12 17:51:15.079373064,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,284,176,361,293,2.08,-22.44,3.94,open,open,1.0,1.0,-17.7,-12.69,frowning,middle_eastern,male,35,322.5,234.5,9009,1
2024-12-12 17:51:15.079373064,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,331,495,446,647,-3.42,21.34,3.27,open,open,1.0,1.0,-10.28,9.09,neutral,white,male,25,388.5,571.0,17480,3
2024-12-12 17:51:15.079373064,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,1000,542,1094,659,-2.67,0.74,10.83,open,open,0.99,1.0,-20.37,-1.04,smilling,white,male,45,1047.0,600.5,10998,0
2024-12-12 17:51:15.223305428,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,908,135,1042,343,-8.32,-23.29,7.69,open,open,1.0,1.0,-12.23,-13.33,neutral,middle_eastern,male,25,975.0,239.0,27872,2
2024-12-12 17:51:15.223305428,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,284,176,361,293,2.08,-22.46,3.7,open,open,1.0,1.0,-18.14,-13.44,frowning,middle_eastern,male,35,322.5,234.5,9009,1
2024-12-12 17:51:15.223305428,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,328,495,442,645,-1.42,20.05,1.61,open,open,1.0,1.0,-8.37,9.72,neutral,white,male,25,385.0,570.0,17100,3
2024-12-12 17:51:15.223305428,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,993,542,1090,662,-1.07,1.78,10.09,open,open,1.0,1.0,-18.34,-1.55,smilling,white,male,45,1041.5,602.0,11640,0
2024-12-12 17:51:15.355453855,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,909,137,1043,345,-8.6,-23.82,7.88,open,open,1.0,1.0,-11.93,-12.14,neutral,middle_eastern,male,25,976.0,241.0,27872,2
2024-12-12 17:51:15.355453855,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,284,176,361,293,1.68,-21.73,4.46,open,open,1.0,1.0,-10.09,-15.43,neutral,middle_eastern,male,35,322.5,234.5,9009,1
2024-12-12 17:51:15.355453855,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,323,494,435,640,-0.79,19.63,-0.77,open,open,1.0,1.0,-7.13,7.47,neutral,white,male,25,379.0,567.0,16352,3
2024-12-12 17:51:15.355453855,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,984,541,1081,662,-3.53,2.57,7.37,open,open,1.0,1.0,-11.17,-9.01,smilling,white,male,55,1032.5,601.5,11737,0
2024-12-12 17:51:15.503594768,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,911,138,1044,346,-8.87,-23.63,7.68,open,open,1.0,1.0,-11.01,-11.81,smilling,middle_eastern,male,25,977.5,242.0,27664,2
2024-12-12 17:51:15.503594768,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,284,176,361,293,1.14,-21.52,4.3,open,open,1.0,1.0,-14.79,-14.45,neutral,middle_eastern,male,35,322.5,234.5,9009,1
2024-12-12 17:51:15.503594768,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,317,493,427,637,-2.25,22.77,-2.46,open,open,1.0,1.0,-10.03,11.61,neutral,white,male,25,372.0,565.0,15840,3
2024-12-12 17:51:15.503594768,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,974,541,1065,655,-2.33,3.59,4.93,open,closed,0.76,1.0,8.18,-10.97,smilling,white,male,45,1019.5,598.0,10374,0
2024-12-12 17:51:15.661836197,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,911,138,1044,346,-9.09,-22.46,7.44,open,open,1.0,1.0,-20.79,-7.88,neutral,middle_eastern,male,25,977.5,242.0,27664,2
2024-12-12 17:51:15.661836197,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,283,176,360,292,0.56,-14.17,5.22,open,open,1.0,1.0,-13.51,-11.01,neutral,middle_eastern,male,35,321.5,234.0,8932,1
2024-12-12 17:51:15.661836197,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,313,494,422,636,-4.25,23.14,-2.65,open,open,1.0,1.0,-12.26,11.56,neutral,white,male,25,367.5,565.0,15478,3
2024-12-12 17:51:15.661836197,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,957,544,1039,646,-9.83,7.82,2.53,closed,closed,1.0,0.99,-36.13,-1.45,smilling,white,male,55,998.0,595.0,8364,0
2024-12-12 17:51:15.817552496,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,911,139,1043,346,-10.13,-20.97,7.78,open,open,1.0,1.0,-22.45,-5.75,neutral,middle_eastern,male,35,977.0,242.5,27324,2
2024-12-12 17:51:15.817552496,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,282,176,358,291,1.24,-13.8,4.48,open,open,1.0,1.0,-10.46,-14.4,neutral,middle_eastern,male,35,320.0,233.5,8740,1
2024-12-12 17:51:15.817552496,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,308,496,417,636,-3.3,27.08,-4.57,open,open,1.0,1.0,-9.92,12.23,neutral,middle_eastern,male,25,362.5,566.0,15260,3
2024-12-12 17:51:15.817552496,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,941,545,1014,637,-4.1,11.3,-1.71,open,closed,0.96,0.92,-20.32,-3.92,smilling,white,male,45,977.5,591.0,6716,0
2024-12-12 17:51:15.954751182,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,910,138,1042,346,-10.68,-21.63,7.63,open,open,1.0,1.0,-23.47,-6.95,neutral,middle_eastern,male,35,976.0,242.0,27456,2
2024-12-12 17:51:15.954751182,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,281,176,357,291,1.24,-13.8,4.48,open,open,1.0,1.0,-10.46,-14.4,neutral,middle_eastern,male,35,319.0,233.5,8740,1
2024-12-12 17:51:15.954751182,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,306,496,414,636,-7.47,29.58,-4.9,open,open,1.0,1.0,-16.92,13.31,neutral,middle_eastern,male,25,360.0,566.0,15120,3
2024-12-12 17:51:15.954751182,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,5,927,549,994,633,-2.12,18.78,-3.52,open,closed,0.95,0.99,-19.42,-0.91,smilling,white,male,45,960.5,591.0,5628,0
2024-12-12 17:51:16.125618257,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,1,909,137,1041,344,-11.34,-22.19,7.45,open,open,1.0,1.0,-28.76,-3.22,neutral,middle_eastern,male,25,975.0,240.5,27324,2
2024-12-12 17:51:16.125618257,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,3,281,176,357,290,1.24,-13.8,4.48,open,open,1.0,1.0,-10.46,-14.4,neutral,middle_eastern,male,35,319.0,233.0,8664,1
2024-12-12 17:51:16.125618257,data/test_online_meetings/zoom/Zoom_2025-01-09/2025-01-09 17.49.54 [NEXI] Weekly Briefing/video1713189655.mp4,4,306,495,416,638,-4.45,33.46,-4.12,open,closed,0.99,0.86,-8.82,7.6,neutral,middle_eastern,male,25,361.0,566.5,15730,3
